"language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:056fdc9a9d69bc6a1412e3552b9efa94","Dicranum majus Sm.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:05c9aa1ecc588f7d05129f2c33369c8a","Jungermannia obovata Nees","Plantae","Marchantiophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:061dea3c58c9e12d64bb753231f918d0","Racomitrium canescens (Hedw.) Brid.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:0626862e2df251fd5a1b620dea31ac79","Schistidium papillosum Culm.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:06510ac58d8bd976ba5ad610356b0426","Orthotrichum rivulare Turner","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:065ef6e645b87d3b6944619109bb9390","Andreaea rothii F.Weber & D.Mohr","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:06aabfa4f015384faefdd642db90ed4e","Rhodobryum roseum (Hedw.) Limpr.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:06ca085adc0e2d3af1200a32ab77819d","Bryum gemmilucens R.Wilczek & Demaret","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:06e0eb977d55ba0b49d12267a09e1867","Loeskeobryum brevirostre (Brid.) M.Fleisch.","Plantae","Bryophyta","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanical Garden Meise","","BGM","Bryophyte checklist and European red list of the Brussels-Capital Region, Flanders and Wallonia (Belgium)","bryophytes-belgium-checklist:taxon:07a42b2d6cf7ca035eb63b4bc6b78c99","Ditrichum gracile (Mitt.) Kuntze","Plantae","Bryophyta","species","ICN"
